Data Source File,first-names.txt
Memory Manager Type,Best Fit
Total Memory Allocated by sbrk (bytes),21197
Size of freedMBList,2225
Size of allocMBList,972
Number of Times Blocks were Split,980
Number of Times Blocks were Merged,755
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x5590253ce250,1
0x5590253e5e70,1
0x5590253e1a70,1
0x559025400e30,2
0x5590253e3890,7,0x5590253cb160,Henrie
0x5590253d03b0,6,0x5590253cb1e0,Colly
0x5590253d4e30,6,0x5590253cb220,Loise
0x5590253cdc70,9,0x5590253cb2a0,Courtney
0x5590253cfbf0,7,0x5590253cb420,Cookie
0x5590253cd3f0,7,0x5590253cb460,Clemmy
0x55902541ae50,6,0x5590253cb660,Cissy
0x55902541add0,4,0x5590253cb760,Ray
0x5590253d5cf0,8,0x5590253cb8a0,Cristal
0x5590253cbac0,11,0x5590253cb8e0,Clementina
0x5590253d5ab0,7,0x5590253cb9a0,Halley
0x5590253f5950,5,0x5590253cba60,Roda
0x5590253d58b0,8,0x5590253cbae0,Corabel
0x5590253d42b0,10,0x5590253cbb60,Gwendolin
0x5590253ccf00,5,0x5590253cbe60,Lind
0x5590253d0bf0,5,0x5590253cbf60,Clem
0x5590253d7cf0,8,0x5590253cc020,Corella
0x5590253cfe10,5,0x5590253cc1a0,Crin
0x5590253d6af0,10,0x5590253cc1e0,Constance
0x5590253d4670,6,0x5590253cc360,Rayna
0x5590253d3370,7,0x5590253cc3a0,Guenna
0x5590253e2b10,5,0x5590253cc520,Lola
0x55902541abf0,1
0x5590253d1170,9,0x5590253cc5a0,Consuela
0x5590253ccec0,8,0x5590253cc720,Cissiee
0x55902541b290,7,0x5590253cc820,Clarey
0x55902541b990,8,0x5590253cc860,Clareta
0x5590253d07b0,8,0x5590253cc8a0,Clemmie
0x5590253d2c70,9,0x5590253cc8e0,Clarinda
0x5590253ede50,5,0x5590253ccaa0,Lyda
0x5590253cff30,10,0x5590253ccbe0,Consolata
0x55902541b950,7,0x5590253ccde0,Glenna
0x5590253d4ff0,8,0x5590253cce20,Corinna
0x5590253e4f10,6,0x5590253ccf20,Lotte
0x55902541a6d0,6,0x5590253ccfe0,Golda
0x5590253cc100,7,0x5590253cd450,Lillis
0x5590253cb700,5,0x5590253cd610,Gray
0x559025402470,5,0x5590253cd650,Rory
0x55902541b150,8,0x5590253cd6d0,Lindsay
0x5590253d7e30,8,0x5590253cd710,Cosette
0x5590253cc340,7,0x5590253cd750,Ralina
0x5590253d8470,8,0x5590253cd7d0,Coretta
0x5590253d5570,8,0x5590253cd890,Colline
0x5590253d3570,7,0x5590253cd8d0,Correy
0x5590253d07d0,2
0x5590253d13f0,10,0x5590253cda10,Constanta
0x5590253e1b50,7,0x5590253cdb50,Hayley
0x5590253e54d0,5,0x5590253cdc50,Lori
0x5590253d44f0,8,0x5590253cdc90,Corilla
0x5590253d0430,7,0x5590253cdcd0,Cordey
0x5590253d63b0,8,0x5590253cdd10,Harriot
0x5590253d24b0,7,0x5590253cdd50,Corene
0x5590253d0b70,7,0x5590253cde50,Cordie
0x5590253d74b0,9,0x5590253cde90,Harriott
0x5590253cc000,9,0x5590253cdf90,Chrystel
0x5590253d3470,7,0x5590253ce110,Guinna
0x5590253ce4b0,8,0x5590253ce1d0,Clarita
0x5590253ce470,10,0x5590253ce290,Guendolen
0x5590253cbdc0,8,0x5590253ce2d0,Glennie
0x5590253d22f0,5,0x5590253ce310,Cora
0x5590253ce730,9,0x5590253ce410,Claresta
0x5590253e4390,8,0x5590253ce450,Robenia
0x5590253d47b0,8,0x5590253ce5d0,Collete
0x5590253cd770,11,0x5590253ce610,Clementine
0x5590253d55f0,7,0x5590253ce690,Hadria
0x5590253d7a70,8,0x5590253ce910,Cristie
0x5590253e6550,7,0x5590253ce950,Helene
0x5590253d3d30,8,0x5590253ce990,Loralee
0x5590253cf670,7,0x5590253ce9d0,Goldia
0x5590253ce170,8,0x5590253ceb10,Crissie
0x5590253cedf0,9,0x5590253cebd0,Cornelle
0x5590253cd970,9,0x5590253cec90,Cindelyn
0x5590253d4950,6,0x5590253cef50,Corly
0x5590253e6650,6,0x5590253cf110,Helga
0x5590253cb4c0,4,0x5590253cf1d0,Clo
0x5590253d24f0,6,0x5590253cf290,Gusty
0x5590253cf0f0,7,0x5590253cf2d0,Godiva
0x5590253cdbf0,6,0x5590253cf3d0,Clare
0x5590253ce070,7,0x5590253cf450,Glynis
0x55902541aed0,8,0x5590253cf550,Cornela
0x5590253f48d0,5,0x5590253cf590,Roby
0x5590253d2710,1
0x5590253d34b0,7,0x5590253cf6d0,Cornie
0x5590253cf230,8,0x5590253cf750,Lisette
0x5590253e0330,4,0x5590253cf790,Ree
0x5590253ce3f0,10,0x5590253cfa50,Claudette
0x5590253ccd00,6,0x5590253cfc10,Cinda
0x5590253e1f50,7,0x5590253cfc50,Lucine
0x5590253cfc70,7,0x5590253cfc90,Ranice
0x5590253e5a70,1
0x5590253d0e30,9,0x5590253cfdd0,Clarette
0x5590253d0a30,8,0x5590253cfe90,Coletta
0x5590253e1a50,7,0x5590253cff10,Hattie
0x55902541a7f0,7,0x5590253cff50,Crissy
0x5590253e17d0,6,0x5590253cffd0,Lorie
0x5590253f1d30,1
0x5590253d3410,6,0x5590253d0210,Corny
0x5590253d8d70,9,0x5590253d0350,Clotilda
0x5590253ceeb0,6,0x5590253d03d0,Clary
0x5590253cca40,7,0x5590253d0590,Cindie
0x5590253e3c10,6,0x5590253d06d0,Lorri
0x5590253ffcb0,5,0x5590253d0790,Romy
0x5590253e02f0,4,0x5590253d0810,Liz
0x5590253d6f30,10,0x5590253d0950,Cleopatra
0x5590253cfcf0,6,0x5590253d0ad0,Lissi
0x5590253d53b0,9,0x5590253d0cd0,Corrinne
0x5590253cfa30,8,0x5590253d0e50,Claudie
