Data Source File,middle-names.txt
Memory Manager Type,Best Fit
Total Memory Allocated by sbrk (bytes),16625
Size of freedMBList,1617
Size of allocMBList,930
Number of Times Blocks were Split,704
Number of Times Blocks were Merged,587
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55fd7d3c8b50,1
0x55fd7d40c060,2
0x55fd7d414ce0,1
0x55fd7d4150c0,2
0x55fd7d415420,1
0x55fd7d4157a0,2
0x55fd7d415880,1
0x55fd7d415940,2
0x55fd7d415b40,1
0x55fd7d415ba0,2
0x55fd7d415d40,2
0x55fd7d4160c0,2
0x55fd7d4162a0,1
0x55fd7d416440,1
0x55fd7d416560,2
0x55fd7d4166e0,1
0x55fd7d416940,1
0x55fd7d417ce0,1
0x55fd7d417bc0,2
0x55fd7d417e40,2
0x55fd7d4181a0,1
0x55fd7d4183a0,2
0x55fd7d418a20,2
0x55fd7d418c60,1
0x55fd7d4133e0,1
0x55fd7d40b2c0,6,0x55fd7d3c81d0,Rikki
0x55fd7d40d4c0,7,0x55fd7d3c8250,Dwight
0x55fd7d40bd00,5,0x55fd7d3c8290,Jose
0x55fd7d4125c0,5,0x55fd7d3c8490,Edik
0x55fd7d411d00,4,0x55fd7d3c84d0,Dru
0x55fd7d4104c0,9,0x55fd7d3c8590,Kendrick
0x55fd7d408a80,5,0x55fd7d3c86d0,Dolf
0x55fd7d40bf00,6,0x55fd7d3c8950,Doyle
0x55fd7d3c88b0,5,0x55fd7d3c8ad0,Reid
0x55fd7d3d1c00,5,0x55fd7d3c8b10,Kile
0x55fd7d3cc2a0,7,0x55fd7d3c8c50,Kellby
0x55fd7d407840,8,0x55fd7d3c8d90,Joshuah
0x55fd7d40be40,6,0x55fd7d3c8fd0,Dougy
0x55fd7d40be80,6,0x55fd7d3c9110,Riley
0x55fd7d410e40,7,0x55fd7d3c9210,Elston
0x55fd7d40b5c0,9,0x55fd7d3c9250,Ebenezer
0x55fd7d40af80,7,0x55fd7d3c92d0,Joshia
0x55fd7d4089c0,8,0x55fd7d3c9310,Karlens
0x55fd7d3cc460,6,0x55fd7d3c9350,Kermy
0x55fd7d3cf760,5,0x55fd7d3c93d0,Kerk
0x55fd7d3d0ee0,7,0x55fd7d3c9450,Royall
0x55fd7d4123c0,7,0x55fd7d3c9610,Edgard
0x55fd7d3c8210,2
0x55fd7d410c00,9,0x55fd7d3c9710,Eldridge
0x55fd7d407800,7,0x55fd7d3c9790,Dmitri
0x55fd7d4082c0,4,0x55fd7d3c9890,Don
0x55fd7d409f80,9,0x55fd7d3c98d0,Dominick
0x55fd7d40c4c0,5,0x55fd7d3c9910,Drew
0x55fd7d40b340,8,0x55fd7d3c9950,Donavon
0x55fd7d4136c0,7,0x55fd7d3c9a50,Elwood
0x55fd7d4145c0,8,0x55fd7d3c9c10,Kingsly
0x55fd7d40c0c0,3,0x55fd7d3c9c50,Eb
0x55fd7d3cea20,8,0x55fd7d3c9f90,Rogerio
0x55fd7d414300,7,0x55fd7d3ca050,Roddie
0x55fd7d40b440,10,0x55fd7d3ca3c0,Frederick
0x55fd7d418fc0,10,0x55fd7d3ca420,Frederico
0x55fd7d40d800,10,0x55fd7d3ca480,Frederigo
0x55fd7d3ca440,9,0x55fd7d3ca4e0,Frederik
0x55fd7d418f60,8,0x55fd7d3ca500,Fredric
0x55fd7d3ca4a0,9,0x55fd7d3ca520,Fredrick
0x55fd7d418ea0,5,0x55fd7d3ca540,Free
0x55fd7d3c96f0,9,0x55fd7d3ca5a0,Freedman
0x55fd7d3ca560,9,0x55fd7d3ca600,Freeland
0x55fd7d3ca3e0,8,0x55fd7d3ca620,Freeman
0x55fd7d3ca5c0,8,0x55fd7d3ca680,Freemon
0x55fd7d413e80,8,0x55fd7d3ca6e0,Fremont
0x55fd7d3ca6a0,10,0x55fd7d3ca740,Friedrich
0x55fd7d3ca700,10,0x55fd7d3ca7a0,Friedrick
0x55fd7d418d80,6,0x55fd7d3ca7c0,Fritz
0x55fd7d4070c0,7,0x55fd7d3ca820,Fulton
0x55fd7d3ca7e0,7,0x55fd7d3ca880,Gabbie
0x55fd7d3ca840,6,0x55fd7d3ca8e0,Gabby
0x55fd7d3ca8a0,5,0x55fd7d3ca940,Gabe
0x55fd7d3ca900,5,0x55fd7d3ca9a0,Gabi
0x55fd7d4080c0,6,0x55fd7d3caa00,Gabie
0x55fd7d3ca9c0,8,0x55fd7d3caa60,Gabriel
0x55fd7d3caa20,9,0x55fd7d3caac0,Gabriele
0x55fd7d40cc80,10,0x55fd7d3cab20,Gabriello
0x55fd7d3caa80,5,0x55fd7d3cab80,Gaby
0x55fd7d3caae0,5,0x55fd7d3cabe0,Gael
