Data Source File,_data/middle-names.txt
Memory Manager Type,Best Fit
Total Memory Allocated by sbrk (bytes),16625
Size of freedMBList,1617
Size of allocMBList,930
Number of Times Blocks were Split,704
Number of Times Blocks were Merged,587
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x5589170b6b50,1
0x5589170fa060,2
0x558917102ce0,1
0x5589171030c0,2
0x558917103420,1
0x5589171037a0,2
0x558917103880,1
0x558917103940,2
0x558917103b40,1
0x558917103ba0,2
0x558917103d40,2
0x5589171040c0,2
0x5589171042a0,1
0x558917104440,1
0x558917104560,2
0x5589171046e0,1
0x558917104940,1
0x558917105ce0,1
0x558917105bc0,2
0x558917105e40,2
0x5589171061a0,1
0x5589171063a0,2
0x558917106a20,2
0x558917106c60,1
0x5589171013e0,1
0x5589170f92c0,6,0x5589170b61d0,Rikki
0x5589170fb4c0,7,0x5589170b6250,Dwight
0x5589170f9d00,5,0x5589170b6290,Jose
0x5589171005c0,5,0x5589170b6490,Edik
0x5589170ffd00,4,0x5589170b64d0,Dru
0x5589170fe4c0,9,0x5589170b6590,Kendrick
0x5589170f6a80,5,0x5589170b66d0,Dolf
0x5589170f9f00,6,0x5589170b6950,Doyle
0x5589170b68b0,5,0x5589170b6ad0,Reid
0x5589170bfc00,5,0x5589170b6b10,Kile
0x5589170ba2a0,7,0x5589170b6c50,Kellby
0x5589170f5840,8,0x5589170b6d90,Joshuah
0x5589170f9e40,6,0x5589170b6fd0,Dougy
0x5589170f9e80,6,0x5589170b7110,Riley
0x5589170fee40,7,0x5589170b7210,Elston
0x5589170f95c0,9,0x5589170b7250,Ebenezer
0x5589170f8f80,7,0x5589170b72d0,Joshia
0x5589170f69c0,8,0x5589170b7310,Karlens
0x5589170ba460,6,0x5589170b7350,Kermy
0x5589170bd760,5,0x5589170b73d0,Kerk
0x5589170beee0,7,0x5589170b7450,Royall
0x5589171003c0,7,0x5589170b7610,Edgard
0x5589170b6210,2
0x5589170fec00,9,0x5589170b7710,Eldridge
0x5589170f5800,7,0x5589170b7790,Dmitri
0x5589170f62c0,4,0x5589170b7890,Don
0x5589170f7f80,9,0x5589170b78d0,Dominick
0x5589170fa4c0,5,0x5589170b7910,Drew
0x5589170f9340,8,0x5589170b7950,Donavon
0x5589171016c0,7,0x5589170b7a50,Elwood
0x5589171025c0,8,0x5589170b7c10,Kingsly
0x5589170fa0c0,3,0x5589170b7c50,Eb
0x5589170bca20,8,0x5589170b7f90,Rogerio
0x558917102300,7,0x5589170b8050,Roddie
0x5589170f9440,10,0x5589170b83c0,Frederick
0x558917106fc0,10,0x5589170b8420,Frederico
0x5589170fb800,10,0x5589170b8480,Frederigo
0x5589170b8440,9,0x5589170b84e0,Frederik
0x558917106f60,8,0x5589170b8500,Fredric
0x5589170b84a0,9,0x5589170b8520,Fredrick
0x558917106ea0,5,0x5589170b8540,Free
0x5589170b76f0,9,0x5589170b85a0,Freedman
0x5589170b8560,9,0x5589170b8600,Freeland
0x5589170b83e0,8,0x5589170b8620,Freeman
0x5589170b85c0,8,0x5589170b8680,Freemon
0x558917101e80,8,0x5589170b86e0,Fremont
0x5589170b86a0,10,0x5589170b8740,Friedrich
0x5589170b8700,10,0x5589170b87a0,Friedrick
0x558917106d80,6,0x5589170b87c0,Fritz
0x5589170f50c0,7,0x5589170b8820,Fulton
0x5589170b87e0,7,0x5589170b8880,Gabbie
0x5589170b8840,6,0x5589170b88e0,Gabby
0x5589170b88a0,5,0x5589170b8940,Gabe
0x5589170b8900,5,0x5589170b89a0,Gabi
0x5589170f60c0,6,0x5589170b8a00,Gabie
0x5589170b89c0,8,0x5589170b8a60,Gabriel
0x5589170b8a20,9,0x5589170b8ac0,Gabriele
0x5589170fac80,10,0x5589170b8b20,Gabriello
0x5589170b8a80,5,0x5589170b8b80,Gaby
0x5589170b8ae0,5,0x5589170b8be0,Gael
0x5589170b8ba0,7,0x5589170b8c40,Gaelan
0x5589170b8c00,5,0x5589170b8ca0,Gage
0x5589170ffe80,5,0x5589170b8d00,Gail
0x5589170b8cc0,6,0x5589170b8d60,Gaile
0x558917104180,4,0x5589170b8d80,Gal
0x5589170b8d20,5,0x5589170b8de0,Gale
0x5589170b8da0,6,0x5589170b8e40,Galen
0x5589170b8e00,10,0x5589170b8e60,Gallagher
0x5589170f9140,8,0x5589170b8ec0,Gallard
0x5589170b8e80,7,0x5589170b8f20,Galvan
0x5589170b8ee0,7,0x5589170b8f80,Galven
0x5589170b8f40,7,0x5589170b8fe0,Galvin
0x5589170fdfc0,9,0x5589170b9040,Gamaliel
0x5589171045c0,4,0x5589170b9060,Gan
0x5589170b9000,7,0x5589170b90c0,Gannie
0x5589170b9080,7,0x5589170b9120,Gannon
0x5589170b8fa0,6,0x5589170b9140,Ganny
0x5589171047a0,4,0x5589170b9160,Gar
0x5589170b90e0,7,0x5589170b91c0,Garald
0x5589170b9180,5,0x5589170b91e0,Gard
0x5589170f52c0,9,0x5589170b9240,Gardener
0x5589170b9200,7,0x5589170b92a0,Gardie
0x5589170b9260,9,0x5589170b9300,Gardiner
0x5589170b92c0,8,0x5589170b9360,Gardner
0x5589170f85c0,6,0x5589170b93c0,Gardy
0x5589170b9380,5,0x5589170b9420,Gare
0x5589170b93e0,6,0x5589170b9480,Garek
0x5589170b9440,7,0x5589170b94e0,Gareth
0x5589170b94a0,6,0x5589170b9540,Garey
0x5589170fa300,9,0x5589170b95a0,Garfield
0x5589170b9500,6,0x5589170b95c0,Garik
0x5589170b9560,7,0x5589170b9620,Garner
0x5589170b95e0,7,0x5589170b9680,Garold
0x5589170b9640,8,0x5589170b96e0,Garrard
0x5589170b96a0,7,0x5589170b9740,Garrek
0x5589170f63c0,7,0x5589170b97a0,Garret
0x5589170b9760,8,0x5589170b9800,Garreth
0x5589170b97c0,8,0x5589170b9860,Garrett
0x5589170b9820,8,0x5589170b98c0,Garrick
0x5589170b9880,7,0x5589170b9920,Garrik
0x5589170f9880,7,0x5589170b9980,Garrot
0x5589170b9940,8,0x5589170b99e0,Garrott
0x5589170b99a0,6,0x5589170b9a40,Garry
