Data Source File,first-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),21435
Size of freedMBList,2421
Size of allocMBList,990
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,759
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55f3715abcb0,2
0x55f37155f550,1
0x55f37155f750,2
0x55f371575c50,1
0x55f37157fcb0,1
0x55f3715757d0,2
0x55f371563550,1
0x55f37158a230,1
0x55f371591a10,1
0x55f371573010,2
0x55f371577550,1
0x55f3715907d0,1
0x55f37155cd40,9,0x55f37155b220,Gloriana
0x55f37155e7f0,10,0x55f37155b620,Gwendolyn
0x55f3715aa710,9,0x55f37155b6e0,Claudine
0x55f37155ea90,1
0x55f3715634d0,5,0x55f37155bae0,Clem
0x55f371575d50,5,0x55f37155bfe0,Gnni
0x55f3715ab910,7,0x55f37155c0e0,Connie
0x55f37155ca40,7,0x55f37155c1e0,Claude
0x55f3715abed0,8,0x55f37155c360,Grethel
0x55f37155dd70,8,0x55f37155c4e0,Gunilla
0x55f37155eab0,7,0x55f37155c520,Gwenni
0x55f37155b1a0,1
0x55f3715ab290,7,0x55f37155c6a0,Coleen
0x55f371567bd0,6,0x55f37155c720,Cilka
0x55f37155b9c0,7,0x55f37155c8e0,Cindie
0x55f3715ab250,7,0x55f37155ca20,Gratia
0x55f3715ab650,6,0x55f37155cda0,Grete
0x55f3715abf30,7,0x55f37155ce60,Gretta
0x55f371574f10,4,0x55f37155cea0,Gus
0x55f3715aae10,7,0x55f37155cfa0,Gracia
0x55f3715aaf90,6,0x55f37155d4d0,Conny
0x55f3715ab390,9,0x55f37155d690,Clotilda
0x55f37155dd50,2
0x55f37155c7c0,9,0x55f37155d890,Clarinda
0x55f3715ab890,7,0x55f37155d8d0,Collie
0x55f37155cbc0,10,0x55f37155da10,Claudette
0x55f3715ab110,6,0x55f37155dd10,Greta
0x55f37155b700,10,0x55f37155ded0,Giulietta
0x55f3715733d0,4,0x55f37155e050,Gui
0x55f37155fdd0,6,0x55f37155e1d0,Cindy
0x55f371563a50,1
0x55f37155c180,11,0x55f37155e610,Clarabelle
0x55f371578050,5,0x55f37155e8d0,Glyn
0x55f371560890,6,0x55f37155e910,Coral
0x55f371566590,9,0x55f37155ea50,Claudina
0x55f37155b2a0,7,0x55f37155eb10,Cookie
0x55f371582910,1
0x55f37155d770,11,0x55f37155efd0,Constantia
0x55f3715abd50,10,0x55f37155f0d0,Constance
0x55f37155c440,8,0x55f37155f1d0,Clareta
0x55f37155b580,7,0x55f37155f3d0,Cindee
0x55f3715ab590,8,0x55f37155f850,Colette
0x55f37155bb40,6,0x55f37155fa90,Gleda
0x55f371566e10,7,0x55f37155fc10,Cicely
0x55f37155cfe0,1
0x55f3715abb90,10,0x55f37155fe10,Concordia
0x55f37155c680,9,0x55f37155fe90,Claribel
0x55f3715ab070,9,0x55f371560110,Conchita
0x55f371566c10,8,0x55f371560210,Collete
0x55f37155c540,9,0x55f371560350,Claretta
0x55f37155db70,10,0x55f371560490,Guglielma
0x55f37155c300,7,0x55f3715604d0,Lindie
0x55f371576710,6,0x55f371560710,Glenn
0x55f37155cf00,8,0x55f371560790,Glynnis
0x55f37155c000,9,0x55f371560950,Claresta
0x55f3715607d0,7,0x55f3715609d0,Clemmy
0x55f3715aac90,8,0x55f371560b50,Goldina
0x55f37155b660,6,0x55f371560e50,Cissy
0x55f37155e5d0,2
0x55f371562770,5,0x55f371561290,Lona
0x55f371575dd0,3,0x55f3715a1a10,Vi
0x55f37155e250,10,0x55f3715614d0,Claudetta
0x55f371568810,2
0x55f3715621d0,9,0x55f371561690,Clerissa
0x55f37155cbe0,2
0x55f3715aad90,6,0x55f371561b10,Codie
0x55f37155fd70,6,0x55f371561b50,Rayna
0x55f371563750,8,0x55f371561d10,Coletta
0x55f371561570,8,0x55f371561dd0,Raynell
0x55f371565b50,2
0x55f37155dc90,4,0x55f371561ed0,Con
0x55f3715aba10,11,0x55f371562450,Concettina
0x55f371571990,9,0x55f371562490,Gloriane
0x55f3715611d0,5,0x55f3715624d0,Cleo
0x55f3715646f0,7,0x55f371562590,Lorena
0x55f37155c5a0,5,0x55f371562710,Clea
0x55f371568590,8,0x55f3715627d0,Clarine
0x55f3715ab190,10,0x55f371562810,Cleopatra
0x55f37155d830,12,0x55f371562850,Constantina
0x55f37155e010,3
0x55f371566210,10,0x55f3715629d0,Constancy
0x55f37155be00,7,0x55f371562a90,Gladys
0x55f37155d9f0,9,0x55f371562ad0,Consuelo
0x55f37155dc70,10,0x55f371562c10,Corabella
0x55f3715aa910,9,0x55f371562d90,Clemence
0x55f371560f90,5,0x55f371562dd0,Clio
0x55f37155ee70,7,0x55f371562e10,Gwenny
0x55f3715647d0,6,0x55f371562f10,Clare
0x55f37155bf00,6,0x55f371562fd0,Clara
0x55f37155e330,8,0x55f371563110,Lisbeth
0x55f371561b90,1
0x55f37155de50,1
0x55f3715aab10,5,0x55f3715632d0,Codi
0x55f371561c10,8,0x55f371563310,Clarice
0x55f3715aaeb0,7,0x55f3715633d0,Godiva
0x55f3715ab9b0,9,0x55f371563650,Clarisse
0x55f37155cac0,10,0x55f371563690,Claudelle
0x55f3715602d0,12,0x55f371563790,Constantine
0x55f371569150,2
0x55f3715625d0,6,0x55f3715638d0,Livvy
0x55f3715aaed0,11,0x55f371563910,Clementine
0x55f371560d10,1
0x55f37155ca00,6,0x55f3715639d0,Grata
0x55f3715ab4d0,7,0x55f371563a90,Colene
0x55f37155fc70,6,0x55f371563b90,Livia
0x55f3715aa7f0,5,0x55f371563bd0,Cora
0x55f37155c4c0,8,0x55f371563dd0,Glennie
0x55f37155edb0,8,0x55f371563e90,Gwennie
0x55f3715abb10,6,0x55f371563f90,Gussi
0x55f3715760d0,1
