Data Source File,middle-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),16856
Size of freedMBList,1757
Size of allocMBList,950
Number of Times Blocks were Split,852
Number of Times Blocks were Merged,595
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55b363062fd0,2
0x55b3630a62a0,1
0x55b3630aea60,2
0x55b3630aecc0,1
0x55b3630aed20,1
0x55b3630aede0,1
0x55b3630aeea0,1
0x55b3630af140,1
0x55b3630af1c0,2
0x55b3630af3c0,2
0x55b3630af500,1
0x55b3630af9c0,1
0x55b3630afb00,2
0x55b3630afbc0,2
0x55b3630afde0,1
0x55b3630b0040,1
0x55b3630b00a0,1
0x55b3630b0340,1
0x55b3630b03e0,1
0x55b3630b04a0,2
0x55b3630b0500,2
0x55b3630b0720,1
0x55b3630b0780,2
0x55b3630b0d40,1
0x55b3630b0da0,1
0x55b3630b0e00,1
0x55b3630b10a0,1
0x55b3630b1380,1
0x55b3630b1580,1
0x55b3630b16c0,1
0x55b3630b1720,1
0x55b3630b1a40,2
0x55b3630b2700,1
0x55b3630b28c0,1
0x55b3630b29a0,2
0x55b3630b2c40,1
0x55b3630b2d40,1
0x55b3630b2ee0,1
0x55b3630b2e20,1
0x55b3630b2e80,1
0x55b3630a1460,3,0x55b363086260,Ty
0x55b36306c320,3
0x55b363069c20,1
0x55b363067520,2
0x55b36306b5e0,2
0x55b36306c0a0,1
0x55b3630a80a0,6,0x55b363062210,Dukey
0x55b363076c00,3
0x55b3630aa3a0,6,0x55b363062490,Dougy
0x55b363069780,5,0x55b3630625d0,Reid
0x55b3630ad520,7,0x55b3630626d0,Dillon
0x55b3630a5700,8,0x55b363062790,Ricardo
0x55b36307b3a0,2
0x55b363063e30,8,0x55b363062ad0,Johnnie
0x55b3630a60a0,1
0x55b3630a7ea0,7,0x55b363063090,Dudley
0x55b3630a8ea0,6,0x55b363063150,Eamon
0x55b3630a1f40,9,0x55b363063210,Ebeneser
0x55b363062370,4,0x55b363063310,Reg
0x55b3630a3ac0,7,0x55b3630633d0,Justen
0x55b363063b30,8,0x55b363063610,Douglas
0x55b3630625f0,7,0x55b363063790,Dillie
0x55b3630a1c60,8,0x55b3630638d0,Dimitry
0x55b363063070,8,0x55b363063910,Domingo
0x55b363062b30,9,0x55b363063950,Dionysus
0x55b3630a1440,7,0x55b3630639d0,Jordan
0x55b363062910,6,0x55b363063a50,Eddie
0x55b363063e70,5,0x55b363063ad0,Drud
0x55b3630a6fe0,4,0x55b363063ed0,Job
0x55b3630a3880,6,0x55b363063fd0,Kaleb
0x55b3630a7200,7,0x55b363064050,Robbie
0x55b3630a8b40,6,0x55b3630643a0,Flynn
0x55b3630a7d80,5,0x55b3630643c0,Fons
0x55b3630a9980,7,0x55b363064420,Fonsie
0x55b3630a8800,5,0x55b363064440,Fonz
0x55b3630a9c40,7,0x55b3630644a0,Fonzie
0x55b3630a9e40,7,0x55b363064500,Forbes
0x55b3630a8880,5,0x55b363064520,Ford
0x55b3630a9f00,7,0x55b363064580,Forest
0x55b3630a9fc0,9,0x55b3630645e0,Forester
0x55b3630aa0c0,8,0x55b363064640,Forrest
0x55b3630aa400,10,0x55b3630646a0,Forrester
0x55b3630aa1c0,8,0x55b3630646c0,Forster
0x55b3630a9380,5,0x55b3630646e0,Foss
0x55b3630aa380,7,0x55b363064740,Foster
0x55b3630aa500,7,0x55b3630647a0,Fowler
0x55b3630a97c0,5,0x55b3630647c0,Fran
0x55b3630aa680,10,0x55b363064820,Francesco
0x55b3630aa800,9,0x55b363064880,Franchot
0x55b3630aa740,8,0x55b3630648a0,Francis
0x55b3630aaa40,10,0x55b363064900,Francisco
0x55b3630aae40,11,0x55b363064960,Franciskus
0x55b3630ab000,10,0x55b3630649c0,Francklin
0x55b3630ab0c0,10,0x55b363064a20,Francklyn
0x55b3630aac00,9,0x55b363064a40,Francois
0x55b3630aa940,6,0x55b363064aa0,Frank
0x55b3630ab180,8,0x55b363064b00,Frankie
0x55b3630ab280,9,0x55b363064b60,Franklin
0x55b3630ab380,9,0x55b363064bc0,Franklyn
0x55b3630ab5c0,7,0x55b363064c20,Franky
0x55b3630ab740,8,0x55b363064c80,Frannie
0x55b3630ab800,7,0x55b363064ca0,Franny
0x55b3630aa9c0,6,0x55b363064cc0,Frans
0x55b3630ab880,10,0x55b363064d20,Fransisco
0x55b3630ab980,7,0x55b363064d80,Frants
0x55b3630aad40,6,0x55b363064da0,Franz
0x55b3630abb40,8,0x55b363064e00,Franzen
0x55b3630abdc0,7,0x55b363064e60,Frasco
0x55b3630abe80,7,0x55b363064ec0,Fraser
0x55b3630ac080,8,0x55b363064ee0,Frasier
0x55b3630ac180,10,0x55b363064f40,Frasquito
0x55b3630aaf40,6,0x55b363064f60,Fraze
0x55b3630ac280,7,0x55b363064fc0,Frazer
0x55b3630ac440,8,0x55b363065020,Frazier
0x55b3630a9900,5,0x55b363065040,Fred
0x55b3630ac680,8,0x55b363065060,Freddie
0x55b3630ac3c0,7,0x55b363065080,Freddy
0x55b3630ac5c0,7,0x55b3630650a0,Fredek
0x55b3630ac8c0,9,0x55b363065100,Frederic
0x55b3630ace40,10,0x55b363065160,Frederich
0x55b3630acf80,10,0x55b3630651c0,Frederick
0x55b3630ad100,10,0x55b363065220,Frederico
0x55b3630ad200,10,0x55b363065280,Frederigo
0x55b3630ad4c0,9,0x55b3630652e0,Frederik
0x55b3630acb80,8,0x55b363065300,Fredric
0x55b3630ad6c0,9,0x55b363065360,Fredrick
0x55b3630abc80,5,0x55b3630653c0,Free
0x55b3630ada00,9,0x55b363065420,Freedman
0x55b3630adbc0,9,0x55b363065480,Freeland
0x55b3630ad380,8,0x55b3630654a0,Freeman
0x55b3630ad940,8,0x55b3630654c0,Freemon
0x55b3630add00,8,0x55b363065520,Fremont
0x55b3630ade80,10,0x55b363065580,Friedrich
0x55b3630ae040,10,0x55b3630655e0,Friedrick
0x55b3630abfc0,6,0x55b363065600,Fritz
0x55b3630ac780,7,0x55b363065620,Fulton
0x55b3630aca80,7,0x55b363065640,Gabbie
0x55b3630acb00,6,0x55b3630656a0,Gabby
0x55b3630ac500,5,0x55b3630656c0,Gabe
0x55b3630acc80,5,0x55b363065720,Gabi
0x55b3630ad2c0,6,0x55b363065780,Gabie
0x55b3630ae140,8,0x55b3630657e0,Gabriel
0x55b3630ae200,9,0x55b363065840,Gabriele
0x55b3630ae600,10,0x55b3630658a0,Gabriello
0x55b3630acdc0,5,0x55b3630658c0,Gaby
0x55b3630ad400,5,0x55b363065920,Gael
0x55b3630ad7c0,7,0x55b363065940,Gaelan
0x55b3630ad840,5,0x55b3630659a0,Gage
0x55b3630adc80,5,0x55b363065a00,Gail
0x55b3630ae400,6,0x55b363065a60,Gaile
0x55b3630b1dc0,4,0x55b363065a80,Gal
0x55b3630ae480,5,0x55b363065ae0,Gale
0x55b3630ae500,6,0x55b363065b40,Galen
0x55b3630ae740,10,0x55b363065ba0,Gallagher
0x55b3630ae8c0,8,0x55b363065c00,Gallard
0x55b363065bc0,7,0x55b363065c60,Galvan
0x55b363065c20,7,0x55b363065cc0,Galven
0x55b363065b60,7,0x55b363065d20,Galvin
0x55b363065860,9,0x55b363065d80,Gamaliel
0x55b3630b2040,4,0x55b363065da0,Gan
0x55b3630655a0,7,0x55b363065e00,Gannie
0x55b363065540,7,0x55b363065e60,Gannon
0x55b363065d40,6,0x55b363065e80,Ganny
0x55b3630b26a0,4,0x55b363065ea0,Gar
0x55b363065e20,7,0x55b363065f00,Garald
0x55b363065ce0,5,0x55b363065f20,Gard
0x55b3630650c0,9,0x55b363065f80,Gardener
0x55b3630654e0,7,0x55b363065fa0,Gardie
0x55b363064f80,9,0x55b363066000,Gardiner
0x55b3630653e0,8,0x55b363066020,Gardner
0x55b363065440,6,0x55b363066040,Gardy
0x55b363065dc0,5,0x55b363066060,Gare
0x55b3630652a0,6,0x55b363066080,Garek
0x55b363065120,7,0x55b3630660e0,Gareth
0x55b363064f00,6,0x55b363066140,Garey
0x55b363064e80,9,0x55b3630661a0,Garfield
0x55b363066160,6,0x55b363066200,Garik
0x55b3630661c0,7,0x55b363066260,Garner
0x55b363064dc0,7,0x55b3630662c0,Garold
0x55b363066280,8,0x55b363066320,Garrard
0x55b363064c40,7,0x55b363066340,Garrek
0x55b363064be0,7,0x55b3630663a0,Garret
0x55b363066360,8,0x55b363066400,Garreth
0x55b3630663c0,8,0x55b363066460,Garrett
0x55b363066420,8,0x55b3630664c0,Garrick
0x55b363064b20,7,0x55b363066520,Garrik
0x55b363064ac0,7,0x55b363066580,Garrot
0x55b363064840,8,0x55b3630665e0,Garrott
0x55b3630647e0,6,0x55b363066640,Garry
0x55b363064660,6,0x55b3630666a0,Garth
0x55b363065ec0,5,0x55b3630666c0,Garv
0x55b363064600,7,0x55b363066720,Garvey
0x55b3630645a0,7,0x55b363066780,Garvin
0x55b363066660,6,0x55b3630667a0,Garvy
0x55b363066740,7,0x55b363066800,Garwin
0x55b3630667c0,8,0x55b363066860,Garwood
0x55b363064fe0,5,0x55b363066880,Gary
0x55b363064540,7,0x55b3630668e0,Gaspar
0x55b363063a10,6,0x55b363066960,Karel
0x55b3630668a0,7,0x55b363066980,Gasper
0x55b36306ce80,5,0x55b363066a00,John
0x55b3630b2a20,4,0x55b363066a60,Gav
0x55b363062a70,7,0x55b363066ae0,Jessie
0x55b3630a1c00,7,0x55b363066b60,Joseph
0x55b3630b2b20,4,0x55b363066bc0,Gay
0x55b3630a3740,6,0x55b363066c40,Julio
0x55b363066ee0,9,0x55b363066d00,Robinson
0x55b363064e20,5,0x55b363066da0,Gene
0x55b363064b80,5,0x55b363066dc0,Geno
0x55b3630a8e60,3
0x55b3630ab420,8,0x55b363066e80,Reinold
0x55b363063df0,10,0x55b363066f00,Reginauld
0x55b3630633b0,6,0x55b363066fc0,Johan
0x55b363066540,5,0x55b363067220,Geri
0x55b3630675a0,10,0x55b3630674e0,Justinian
0x55b3630b2be0,4,0x55b3630676c0,Gib
0x55b3630ad8e0,1
0x55b3630a3000,4,0x55b363067960,Gil
0x55b363063450,1
0x55b3630a6a40,8,0x55b363067aa0,Richard
0x55b3630a4d20,1
0x55b3630aa2a0,3
0x55b363063bf0,7,0x55b363067ea0,Reilly
0x55b363064170,9,0x55b363067f20,Jonathan
0x55b3630639b0,9,0x55b363067f60,Johannes
0x55b3630a32c0,7,0x55b363067fe0,Julian
0x55b363063330,5,0x55b363068460,Joey
0x55b3630a25c0,5,0x55b3630684e0,Judd
0x55b3630a7940,7,0x55b363068520,Robert
0x55b3630a42c0,6,0x55b363068820,Karim
0x55b3630a29c0,7,0x55b363068c60,Josiah
0x55b363069ae0,6,0x55b363068da0,Jimmy
0x55b3630a1c80,5,0x55b363068fe0,Josh
0x55b3630a4ec0,4,0x55b363069040,Gun
0x55b3630abd00,4,0x55b3630691a0,Gus
0x55b3630ad040,4,0x55b363069400,Guy
0x55b3630ad640,4,0x55b363069420,Had
0x55b3630a4900,6,0x55b3630694e0,Rikki
0x55b3630632f0,7,0x55b363069560,Reggis
0x55b3630a3200,6,0x55b3630695e0,Ricki
0x55b3630adb00,4,0x55b3630696c0,Hal
0x55b3630ab500,8,0x55b363069740,Riordan
0x55b363065800,4,0x55b3630698a0,Ham
0x55b36306afa0,2
0x55b36306a3a0,2
0x55b3630a9ec0,9,0x55b363069ba0,Richmond
0x55b3630631b0,4,0x55b363069d20,Joe
0x55b3630a2dc0,7,0x55b363069f20,Josias
0x55b3630a75c0,7,0x55b363069f60,Robers
0x55b3630637f0,7,0x55b36306a120,Johann
0x55b363062d70,6,0x55b36306a420,Reggy
0x55b3630a2d40,5,0x55b36306a4a0,Jule
0x55b36306c2e0,1
0x55b3630a4940,7,0x55b36306ab20,Kareem
0x55b36306df00,3
