Data Source File,_data/middle-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),16856
Size of freedMBList,1757
Size of allocMBList,950
Number of Times Blocks were Split,852
Number of Times Blocks were Merged,595
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x56448dcdcfd0,2
0x56448dd202a0,1
0x56448dd28a60,2
0x56448dd28cc0,1
0x56448dd28d20,1
0x56448dd28de0,1
0x56448dd28ea0,1
0x56448dd29140,1
0x56448dd291c0,2
0x56448dd293c0,2
0x56448dd29500,1
0x56448dd299c0,1
0x56448dd29b00,2
0x56448dd29bc0,2
0x56448dd29de0,1
0x56448dd2a040,1
0x56448dd2a0a0,1
0x56448dd2a340,1
0x56448dd2a3e0,1
0x56448dd2a4a0,2
0x56448dd2a500,2
0x56448dd2a720,1
0x56448dd2a780,2
0x56448dd2ad40,1
0x56448dd2ada0,1
0x56448dd2ae00,1
0x56448dd2b0a0,1
0x56448dd2b380,1
0x56448dd2b580,1
0x56448dd2b6c0,1
0x56448dd2b720,1
0x56448dd2ba40,2
0x56448dd2c700,1
0x56448dd2c8c0,1
0x56448dd2c9a0,2
0x56448dd2cc40,1
0x56448dd2cd40,1
0x56448dd2cee0,1
0x56448dd2ce20,1
0x56448dd2ce80,1
0x56448dd1b460,3,0x56448dd00260,Ty
0x56448dce6320,3
0x56448dce3c20,1
0x56448dce1520,2
0x56448dce55e0,2
0x56448dce60a0,1
0x56448dd220a0,6,0x56448dcdc210,Dukey
0x56448dcf0c00,3
0x56448dd243a0,6,0x56448dcdc490,Dougy
0x56448dce3780,5,0x56448dcdc5d0,Reid
0x56448dd27520,7,0x56448dcdc6d0,Dillon
0x56448dd1f700,8,0x56448dcdc790,Ricardo
0x56448dcf53a0,2
0x56448dcdde30,8,0x56448dcdcad0,Johnnie
0x56448dd200a0,1
0x56448dd21ea0,7,0x56448dcdd090,Dudley
0x56448dd22ea0,6,0x56448dcdd150,Eamon
0x56448dd1bf40,9,0x56448dcdd210,Ebeneser
0x56448dcdc370,4,0x56448dcdd310,Reg
0x56448dd1dac0,7,0x56448dcdd3d0,Justen
0x56448dcddb30,8,0x56448dcdd610,Douglas
0x56448dcdc5f0,7,0x56448dcdd790,Dillie
0x56448dd1bc60,8,0x56448dcdd8d0,Dimitry
0x56448dcdd070,8,0x56448dcdd910,Domingo
0x56448dcdcb30,9,0x56448dcdd950,Dionysus
0x56448dd1b440,7,0x56448dcdd9d0,Jordan
0x56448dcdc910,6,0x56448dcdda50,Eddie
0x56448dcdde70,5,0x56448dcddad0,Drud
0x56448dd20fe0,4,0x56448dcdded0,Job
0x56448dd1d880,6,0x56448dcddfd0,Kaleb
0x56448dd21200,7,0x56448dcde050,Robbie
0x56448dd22b40,6,0x56448dcde3a0,Flynn
0x56448dd21d80,5,0x56448dcde3c0,Fons
0x56448dd23980,7,0x56448dcde420,Fonsie
0x56448dd22800,5,0x56448dcde440,Fonz
0x56448dd23c40,7,0x56448dcde4a0,Fonzie
0x56448dd23e40,7,0x56448dcde500,Forbes
0x56448dd22880,5,0x56448dcde520,Ford
0x56448dd23f00,7,0x56448dcde580,Forest
0x56448dd23fc0,9,0x56448dcde5e0,Forester
0x56448dd240c0,8,0x56448dcde640,Forrest
0x56448dd24400,10,0x56448dcde6a0,Forrester
0x56448dd241c0,8,0x56448dcde6c0,Forster
0x56448dd23380,5,0x56448dcde6e0,Foss
0x56448dd24380,7,0x56448dcde740,Foster
0x56448dd24500,7,0x56448dcde7a0,Fowler
0x56448dd237c0,5,0x56448dcde7c0,Fran
0x56448dd24680,10,0x56448dcde820,Francesco
0x56448dd24800,9,0x56448dcde880,Franchot
0x56448dd24740,8,0x56448dcde8a0,Francis
0x56448dd24a40,10,0x56448dcde900,Francisco
0x56448dd24e40,11,0x56448dcde960,Franciskus
0x56448dd25000,10,0x56448dcde9c0,Francklin
0x56448dd250c0,10,0x56448dcdea20,Francklyn
0x56448dd24c00,9,0x56448dcdea40,Francois
0x56448dd24940,6,0x56448dcdeaa0,Frank
0x56448dd25180,8,0x56448dcdeb00,Frankie
0x56448dd25280,9,0x56448dcdeb60,Franklin
0x56448dd25380,9,0x56448dcdebc0,Franklyn
0x56448dd255c0,7,0x56448dcdec20,Franky
0x56448dd25740,8,0x56448dcdec80,Frannie
0x56448dd25800,7,0x56448dcdeca0,Franny
0x56448dd249c0,6,0x56448dcdecc0,Frans
0x56448dd25880,10,0x56448dcded20,Fransisco
0x56448dd25980,7,0x56448dcded80,Frants
0x56448dd24d40,6,0x56448dcdeda0,Franz
0x56448dd25b40,8,0x56448dcdee00,Franzen
0x56448dd25dc0,7,0x56448dcdee60,Frasco
0x56448dd25e80,7,0x56448dcdeec0,Fraser
0x56448dd26080,8,0x56448dcdeee0,Frasier
0x56448dd26180,10,0x56448dcdef40,Frasquito
0x56448dd24f40,6,0x56448dcdef60,Fraze
0x56448dd26280,7,0x56448dcdefc0,Frazer
0x56448dd26440,8,0x56448dcdf020,Frazier
0x56448dd23900,5,0x56448dcdf040,Fred
0x56448dd26680,8,0x56448dcdf060,Freddie
0x56448dd263c0,7,0x56448dcdf080,Freddy
0x56448dd265c0,7,0x56448dcdf0a0,Fredek
0x56448dd268c0,9,0x56448dcdf100,Frederic
0x56448dd26e40,10,0x56448dcdf160,Frederich
0x56448dd26f80,10,0x56448dcdf1c0,Frederick
0x56448dd27100,10,0x56448dcdf220,Frederico
0x56448dd27200,10,0x56448dcdf280,Frederigo
0x56448dd274c0,9,0x56448dcdf2e0,Frederik
0x56448dd26b80,8,0x56448dcdf300,Fredric
0x56448dd276c0,9,0x56448dcdf360,Fredrick
0x56448dd25c80,5,0x56448dcdf3c0,Free
0x56448dd27a00,9,0x56448dcdf420,Freedman
0x56448dd27bc0,9,0x56448dcdf480,Freeland
0x56448dd27380,8,0x56448dcdf4a0,Freeman
0x56448dd27940,8,0x56448dcdf4c0,Freemon
0x56448dd27d00,8,0x56448dcdf520,Fremont
0x56448dd27e80,10,0x56448dcdf580,Friedrich
0x56448dd28040,10,0x56448dcdf5e0,Friedrick
0x56448dd25fc0,6,0x56448dcdf600,Fritz
0x56448dd26780,7,0x56448dcdf620,Fulton
0x56448dd26a80,7,0x56448dcdf640,Gabbie
0x56448dd26b00,6,0x56448dcdf6a0,Gabby
0x56448dd26500,5,0x56448dcdf6c0,Gabe
0x56448dd26c80,5,0x56448dcdf720,Gabi
0x56448dd272c0,6,0x56448dcdf780,Gabie
