Data Source File,first-names.txt
Memory Manager Type,Worst Fit
Total Memory Allocated by sbrk (bytes),21589
Size of freedMBList,2787
Size of allocMBList,877
Number of Times Blocks were Split,1572
Number of Times Blocks were Merged,785
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x5584d9e4f2b0,1
0x5584d9e5c1f0,2
0x5584d9e1e4b0,11,0x5584d9e188a0,Concettina
0x5584d9e43b50,6,0x5584d9e18e20,Lissi
0x5584d9e2da50,10,0x5584d9e18fe0,Guglielma
0x5584d9e198a0,9,0x5584d9e19020,Clemence
0x5584d9e1ec10,7,0x5584d9e191a0,Collie
0x5584d9e18820,9,0x5584d9e193e0,Griselda
0x5584d9e24230,6,0x5584d9e195a0,Clary
0x5584d9e219d0,9,0x5584d9e19820,Cindelyn
0x5584d9e67910,7,0x5584d9e19860,Cindee
0x5584d9e68710,9,0x5584d9e19a60,Claudina
0x5584d9e344f0,6,0x5584d9e19ea0,Goldi
0x5584d9e24670,8,0x5584d9e1a020,Lizbeth
0x5584d9e1ec50,5,0x5584d9e1a350,Gnni
0x5584d9e21290,7,0x5584d9e1a4d0,Colene
0x5584d9e1f150,10,0x5584d9e1a6d0,Guinevere
0x5584d9e217d0,10,0x5584d9e1a7d0,Clementia
0x5584d9e18380,9,0x5584d9e1a890,Clarette
0x5584d9e1d8f0,9,0x5584d9e1a990,Clarissa
0x5584d9e1cab0,8,0x5584d9e1ac90,Clemmie
0x5584d9e1c470,5,0x5584d9e1acd0,Clea
0x5584d9e559f0,8,0x5584d9e1b090,Rebekah
0x5584d9e234b0,7,0x5584d9e1b1d0,Cindie
0x5584d9e32c70,9,0x5584d9e1b290,Giustina
0x5584d9e33b50,6,0x5584d9e1b2d0,Regan
0x5584d9e45810,6,0x5584d9e1b350,Lilly
0x5584d9e23950,10,0x5584d9e1b4d0,Claudetta
0x5584d9e26230,6,0x5584d9e1b610,Cissy
0x5584d9e682f0,10,0x5584d9e1b6d0,Guendolen
0x5584d9e32970,7,0x5584d9e1b810,Goldie
0x5584d9e42870,4,0x5584d9e1bc50,Liz
0x5584d9e197c0,7,0x5584d9e1bc90,Cicely
0x5584d9e1f810,7,0x5584d9e1bfd0,Collen
0x5584d9e68f30,7,0x5584d9e1c450,Godiva
0x5584d9e22f50,10,0x5584d9e1c650,Claudelle
0x5584d9e1de50,4,0x5584d9e1c850,Clo
0x5584d9e1ef70,9,0x5584d9e1ce90,Claresta
0x5584d9e1d950,9,0x5584d9e1d210,Clotilda
0x5584d9e1f4d0,8,0x5584d9e1d310,Colline
0x5584d9e35570,5,0x5584d9e1d4d0,Glen
0x5584d9e1d1f0,7,0x5584d9e1d590,Cicily
0x5584d9e306d0,6,0x5584d9e1d690,Gladi
0x5584d9e35c10,7,0x5584d9e1d6d0,Gretna
0x5584d9e1bf30,9,0x5584d9e1d9d0,Claudine
0x5584d9e68db0,8,0x5584d9e1dc10,Coletta
0x5584d9e181e0,7,0x5584d9e1dcd0,Coleen
0x5584d9e227d0,8,0x5584d9e1df90,Claudia
0x5584d9e2e4d0,6,0x5584d9e1e350,Reeva
0x5584d9e25f70,11,0x5584d9e1e550,Cinderella
0x5584d9e435d0,6,0x5584d9e1e590,Linda
0x5584d9e348f0,8,0x5584d9e1e790,Glenine
0x5584d9e202b0,9,0x5584d9e1e990,Conchita
0x5584d9e21d70,10,0x5584d9e1e9d0,Concordia
0x5584d9e1c1d0,10,0x5584d9e1eb10,Cleopatra
0x5584d9e26290,5,0x5584d9e1ed10,Clio
0x5584d9e31350,10,0x5584d9e1ed90,Giulietta
0x5584d9e563f0,7,0x5584d9e1f290,Regine
0x5584d9e1a830,7,0x5584d9e1f7d0,Clarey
0x5584d9e20a50,8,0x5584d9e1f850,Collete
0x5584d9e67710,4,0x5584d9e1f8d0,Con
0x5584d9e1e490,7,0x5584d9e1fa90,Gracie
0x5584d9e1adb0,10,0x5584d9e1fed0,Claudette
0x5584d9e1a9f0,6,0x5584d9e1ff10,Clair
0x5584d9e1dc70,8,0x5584d9e1ffd0,Cissiee
0x5584d9e41b90,5,0x5584d9e20110,Lily
0x5584d9e53f10,7,0x5584d9e20150,Regina
0x5584d9e206f0,5,0x5584d9e20210,Clem
0x5584d9e237f0,5,0x5584d9e202d0,Cleo
0x5584d9e23bf0,8,0x5584d9e20310,Clareta
0x5584d9e1e1d0,7,0x5584d9e204d0,Claude
0x5584d9e43e30,5,0x5584d9e205d0,Linn
0x5584d9e1f170,9,0x5584d9e20650,Claribel
0x5584d9e23890,9,0x5584d9e20750,Clerissa
0x5584d9e19be0,9,0x5584d9e20790,Collette
0x5584d9e22af0,5,0x5584d9e20810,Cody
0x5584d9e3f850,8,0x5584d9e20c90,Linnell
0x5584d9e18e40,9,0x5584d9e21190,Gretchen
0x5584d9e304d0,6,0x5584d9e21350,Glori
0x5584d9e31130,6,0x5584d9e21590,Lindi
0x5584d9e20bb0,6,0x5584d9e215d0,Codie
0x5584d9e2f9f0,7,0x5584d9e21610,Grazia
0x5584d9e4e5f0,6,0x5584d9e21650,Rayna
0x5584d9e1d0b0,11,0x5584d9e21e10,Clarabelle
0x5584d9e1d410,9,0x5584d9e22250,Guillema
0x5584d9e1f7b0,8,0x5584d9e22350,Chryste
0x5584d9e1c3d0,9,0x5584d9e226d0,Claretta
0x5584d9e45b50,8,0x5584d9e22850,Rebecka
0x5584d9e31bf0,5,0x5584d9e22890,Glad
0x5584d9e1e970,7,0x5584d9e229d0,Clemmy
0x5584d9e243d0,7,0x5584d9e22bd0,Glenna
0x5584d9e19680,11,0x5584d9e22c50,Clementina
0x5584d9e1e070,6,0x5584d9e22c90,Clari
0x5584d9e24050,7,0x5584d9e22d90,Gracia
0x5584d9e1af30,8,0x5584d9e22fd0,Colleen
0x5584d9e1cdb0,8,0x5584d9e23010,Clarine
0x5584d9e20a30,5,0x5584d9e23310,Codi
0x5584d9e23e10,9,0x5584d9e234d0,Chrystel
0x5584d9e1f9b0,9,0x5584d9e23590,Clarisse
0x5584d9e35c70,7,0x5584d9e23650,Gizela
0x5584d9e1b530,9,0x5584d9e23690,Cinnamon
0x5584d9e18220,10,0x5584d9e23990,Goldarina
0x5584d9e1d530,6,0x5584d9e23a10,Clare
0x5584d9e23250,7,0x5584d9e23e90,Clarie
0x5584d9e25e50,12,0x5584d9e23f10,Guillemette
0x5584d9e1d3d0,8,0x5584d9e24110,Claudie
0x5584d9e21890,6,0x5584d9e24250,Cindy
0x5584d9e68a10,9,0x5584d9e247d0,Clarinda
0x5584d9e1df30,6,0x5584d9e24a90,Codee
0x5584d9e35690,6,0x5584d9e24b50,Grata
0x5584d9e22150,6,0x5584d9e24c10,Glenn
0x5584d9e22b50,6,0x5584d9e24c50,Cindi
0x5584d9e1b950,6,0x5584d9e24c90,Grete
0x5584d9e1bc70,6,0x5584d9e24d10,Clara
0x5584d9e21430,7,0x5584d9e25210,Gretel
0x5584d9e1a040,8,0x5584d9e25610,Colette
0x5584d9e19720,7,0x5584d9e25690,Cindra
0x5584d9e21930,7,0x5584d9e25a50,Cloris
0x5584d9e2e6b0,5,0x5584d9e25a90,Lina
0x5584d9e689b0,7,0x5584d9e25b10,Clovis
0x5584d9e257f0,5,0x5584d9e25fd0,Ciel
0x5584d9e31f30,7,0x5584d9e26390,Glynis
0x5584d9e1a470,11,0x5584d9e263b0,Clementine
0x5584d9e25370,6,0x5584d9e263d0,Conni
0x5584d9e25e70,7,0x5584d9e26430,Connie
0x5584d9e21d10,6,0x5584d9e26490,Conny
0x5584d9e181a0,10,0x5584d9e264f0,Consolata
0x5584d9e1b5d0,10,0x5584d9e26550,Constance
0x5584d9e1e410,11,0x5584d9e265b0,Constancia
0x5584d9e1bf50,10,0x5584d9e26610,Constancy
0x5584d9e20690,10,0x5584d9e26670,Constanta
0x5584d9e25590,11,0x5584d9e266d0,Constantia
0x5584d9e24290,12,0x5584d9e26730,Constantina
0x5584d9e22bf0,12,0x5584d9e26790,Constantine
0x5584d9e1aa10,9,0x5584d9e267f0,Consuela
0x5584d9e1c550,9,0x5584d9e26850,Consuelo
0x5584d9e191e0,7,0x5584d9e268b0,Cookie
0x5584d9e1e4d0,5,0x5584d9e26910,Cora
0x5584d9e21950,8,0x5584d9e26970,Corabel
0x5584d9e1d350,10,0x5584d9e269d0,Corabella
0x5584d9e18c00,10,0x5584d9e26a30,Corabelle
0x5584d9e19540,6,0x5584d9e26a90,Coral
0x5584d9e68190,8,0x5584d9e26af0,Coralie
0x5584d9e68390,9,0x5584d9e26b50,Coraline
0x5584d9e1c330,8,0x5584d9e26bb0,Coralyn
0x5584d9e247b0,9,0x5584d9e26c10,Cordelia
0x5584d9e248f0,9,0x5584d9e26c70,Cordelie
0x5584d9e259b0,7,0x5584d9e26cd0,Cordey
0x5584d9e1f110,6,0x5584d9e26d30,Cordi
0x5584d9e1fa10,7,0x5584d9e26d90,Cordie
0x5584d9e1d110,8,0x5584d9e26df0,Cordula
0x5584d9e1eed0,6,0x5584d9e26e50,Cordy
0x5584d9e24310,7,0x5584d9e26eb0,Coreen
0x5584d9e1f5f0,8,0x5584d9e26f10,Corella
0x5584d9e231f0,8,0x5584d9e26f70,Corenda
0x5584d9e232f0,7,0x5584d9e26fd0,Corene
0x5584d9e1b310,8,0x5584d9e27030,Coretta
0x5584d9e68eb0,8,0x5584d9e27090,Corette
0x5584d9e20bd0,6,0x5584d9e270f0,Corey
0x5584d9e18420,5,0x5584d9e27150,Cori
0x5584d9e1bed0,6,0x5584d9e271b0,Corie
0x5584d9e21550,8,0x5584d9e27210,Corilla
0x5584d9e253d0,7,0x5584d9e27270,Corina
0x5584d9e1a8d0,7,0x5584d9e272d0,Corine
0x5584d9e1f450,8,0x5584d9e27330,Corinna
0x5584d9e23c10,8,0x5584d9e27390,Corinne
0x5584d9e1fe70,7,0x5584d9e273f0,Coriss
0x5584d9e25030,8,0x5584d9e27450,Corissa
0x5584d9e252b0,8,0x5584d9e274b0,Corliss
0x5584d9e23b50,6,0x5584d9e27510,Corly
0x5584d9e1e690,8,0x5584d9e27570,Cornela
0x5584d9e18640,9,0x5584d9e275d0,Cornelia
0x5584d9e18880,9,0x5584d9e27630,Cornelle
0x5584d9e19bc0,7,0x5584d9e27690,Cornie
0x5584d9e68590,6,0x5584d9e276f0,Corny
0x5584d9e1f0b0,8,0x5584d9e27750,Correna
0x5584d9e22170,7,0x5584d9e277b0,Correy
0x5584d9e23730,6,0x5584d9e27810,Corri
0x5584d9e1ce10,10,0x5584d9e27870,Corrianne
0x5584d9e24950,7,0x5584d9e278d0,Corrie
0x5584d9e210d0,8,0x5584d9e27930,Corrina
0x5584d9e1fdd0,8,0x5584d9e27990,Corrine
0x5584d9e1bb10,9,0x5584d9e279f0,Corrinne
0x5584d9e1b910,6,0x5584d9e27a50,Corry
0x5584d9e19180,8,0x5584d9e27ab0,Cortney
0x5584d9e68d50,5,0x5584d9e27b10,Cory
0x5584d9e1c170,8,0x5584d9e27b70,Cosetta
0x5584d9e1c6b0,8,0x5584d9e27bd0,Cosette
0x5584d9e1fab0,9,0x5584d9e27c30,Costanza
0x5584d9e211b0,10,0x5584d9e27c90,Courtenay
0x5584d9e21870,9,0x5584d9e27cf0,Courtnay
0x5584d9e25670,9,0x5584d9e27d50,Courtney
0x5584d9e25ab0,5,0x5584d9e27db0,Crin
0x5584d9e67ef0,5,0x5584d9e27e10,Cris
0x5584d9e24850,8,0x5584d9e27e70,Crissie
0x5584d9e24090,7,0x5584d9e27ed0,Crissy
0x5584d9e1bbd0,7,0x5584d9e27f30,Crista
0x5584d9e1dd10,10,0x5584d9e27f90,Cristabel
0x5584d9e68af0,8,0x5584d9e27ff0,Cristal
0x5584d9e260d0,8,0x5584d9e28050,Cristen
0x5584d9e1c0d0,7,0x5584d9e280b0,Cristi
0x5584d9e1f9d0,8,0x5584d9e28110,Cristie
0x5584d9e18180,8,0x5584d9e28170,Cristin
0x5584d9e18f00,9,0x5584d9e281d0,Cristina
0x5584d9e684d0,9,0x5584d9e28230,Cristine
0x5584d9e1ac70,11,0x5584d9e28290,Cristionna
0x5584d9e1b170,7,0x5584d9e282f0,Cristy
0x5584d9e1e7f0,7,0x5584d9e28350,Crysta
0x5584d9e22cf0,8,0x5584d9e283b0,Crystal
0x5584d9e23db0,8,0x5584d9e28410,Crystie
0x5584d9e24a70,8,0x5584d9e28470,Cthrine
0x5584d9e25530,4,0x5584d9e284d0,Cyb
0x5584d9e25b70,6,0x5584d9e28530,Cybil
0x5584d9e268d0,7,0x5584d9e28590,Cybill
0x5584d9e26450,7,0x5584d9e285f0,Cymbre
0x5584d9e263f0,6,0x5584d9e28650,Cynde
0x5584d9e1d2d0,6,0x5584d9e286b0,Cyndi
0x5584d9e1fad0,7,0x5584d9e28710,Cyndia
0x5584d9e19440,7,0x5584d9e28770,Cyndie
0x5584d9e67ed0,6,0x5584d9e287d0,Cyndy
0x5584d9e1bbb0,8,0x5584d9e28830,Cynthea
0x5584d9e1bdf0,8,0x5584d9e28890,Cynthia
0x5584d9e1c930,8,0x5584d9e288f0,Cynthie
0x5584d9e1e2b0,7,0x5584d9e28950,Cynthy
0x5584d9e1eab0,6,0x5584d9e289b0,Dacey
0x5584d9e21a30,6,0x5584d9e28a10,Dacia
0x5584d9e223b0,6,0x5584d9e28a70,Dacie
0x5584d9e22a30,5,0x5584d9e28ad0,Dacy
0x5584d9e24b70,5,0x5584d9e28b30,Dael
0x5584d9e24e30,6,0x5584d9e28b90,Daffi
0x5584d9e26a50,7,0x5584d9e28bf0,Daffie
0x5584d9e1fc10,6,0x5584d9e28c50,Daffy
0x5584d9e1a850,7,0x5584d9e28cb0,Dagmar
0x5584d9e1e170,7,0x5584d9e28d10,Dahlia
0x5584d9e1ecf0,6,0x5584d9e28d70,Daile
0x5584d9e1eeb0,7,0x5584d9e28dd0,Daisey
0x5584d9e1ff70,6,0x5584d9e28e30,Daisi
0x5584d9e20630,7,0x5584d9e28e90,Daisie
0x5584d9e207f0,6,0x5584d9e28ef0,Daisy
0x5584d9e208f0,5,0x5584d9e28f50,Dale
0x5584d9e214f0,8,0x5584d9e28fb0,Dalenna
0x5584d9e21ff0,6,0x5584d9e29010,Dalia
0x5584d9e227b0,7,0x5584d9e29070,Dalila
0x5584d9e230b0,7,0x5584d9e290d0,Dallas
0x5584d9e27110,8,0x5584d9e29130,Daloris
0x5584d9e26e10,7,0x5584d9e29190,Damara
0x5584d9e26cf0,8,0x5584d9e291f0,Damaris
0x5584d9e26c90,7,0x5584d9e29250,Damita
0x5584d9e26870,5,0x5584d9e292b0,Dana
0x5584d9e21990,7,0x5584d9e29310,Danell
0x5584d9e68050,8,0x5584d9e29370,Danella
0x5584d9e68b90,8,0x5584d9e293d0,Danette
0x5584d9e1e3f0,5,0x5584d9e29430,Dani
0x5584d9e1f3f0,6,0x5584d9e29490,Dania
0x5584d9e21e70,7,0x5584d9e294f0,Danica
0x5584d9e22970,7,0x5584d9e29550,Danice
0x5584d9e27170,8,0x5584d9e295b0,Daniela
0x5584d9e270b0,8,0x5584d9e29610,Daniele
0x5584d9e26f90,9,0x5584d9e29670,Daniella
0x5584d9e26e70,9,0x5584d9e296d0,Danielle
0x5584d9e26d50,7,0x5584d9e29730,Danika
0x5584d9e26b70,7,0x5584d9e29790,Danila
0x5584d9e26ab0,6,0x5584d9e297f0,Danit
0x5584d9e26930,7,0x5584d9e29850,Danita
0x5584d9e23790,6,0x5584d9e298b0,Danna
0x5584d9e18240,6,0x5584d9e29910,Danni
0x5584d9e18580,7,0x5584d9e29970,Dannie
0x5584d9e18ac0,6,0x5584d9e299d0,Danny
0x5584d9e1a770,7,0x5584d9e29a30,Dannye
0x5584d9e1b230,6,0x5584d9e29a90,Danya
0x5584d9e1cf30,9,0x5584d9e29af0,Danyelle
0x5584d9e23af0,9,0x5584d9e29b50,Danyette
0x5584d9e28490,8,0x5584d9e29bb0,Daphene
0x5584d9e27d70,7,0x5584d9e29c10,Daphna
0x5584d9e27ad0,7,0x5584d9e29c70,Daphne
0x5584d9e277d0,5,0x5584d9e29cd0,Dara
0x5584d9e276b0,5,0x5584d9e29d30,Darb
0x5584d9e274d0,7,0x5584d9e29d90,Darbie
0x5584d9e273b0,6,0x5584d9e29df0,Darby
0x5584d9e27290,7,0x5584d9e29e50,Darcee
0x5584d9e27230,7,0x5584d9e29eb0,Darcey
0x5584d9e26f30,6,0x5584d9e29f10,Darci
0x5584d9e26ed0,7,0x5584d9e29f70,Darcie
0x5584d9e26db0,6,0x5584d9e29fd0,Darcy
0x5584d9e26c30,6,0x5584d9e2a030,Darda
0x5584d9e26bd0,7,0x5584d9e2a090,Dareen
0x5584d9e26b10,7,0x5584d9e2a0f0,Darell
0x5584d9e26810,8,0x5584d9e2a150,Darelle
0x5584d9e267b0,5,0x5584d9e2a1b0,Dari
0x5584d9e26630,6,0x5584d9e2a210,Daria
0x5584d9e265d0,7,0x5584d9e2a270,Darice
0x5584d9e26510,6,0x5584d9e2a2d0,Darla
0x5584d9e264b0,8,0x5584d9e2a330,Darleen
0x5584d9e68c50,8,0x5584d9e2a390,Darlene
0x5584d9e68e50,8,0x5584d9e2a3f0,Darline
0x5584d9e1b3f0,9,0x5584d9e2a450,Darlleen
0x5584d9e1ebf0,6,0x5584d9e2a4b0,Daron
0x5584d9e23f30,9,0x5584d9e2a510,Darrelle
0x5584d9e24070,7,0x5584d9e2a570,Darryl
0x5584d9e249b0,7,0x5584d9e2a5d0,Darsey
0x5584d9e251b0,7,0x5584d9e2a630,Darsie
0x5584d9e27dd0,6,0x5584d9e2a690,Darya
0x5584d9e27a10,6,0x5584d9e2a6f0,Daryl
0x5584d9e27770,6,0x5584d9e2a750,Daryn
0x5584d9e27650,6,0x5584d9e2a7b0,Dasha
0x5584d9e27470,5,0x5584d9e2a810,Dasi
0x5584d9e27410,6,0x5584d9e2a870,Dasie
