Data Source File,middle-names.txt
Memory Manager Type,Worst Fit
Total Memory Allocated by sbrk (bytes),17039
Size of freedMBList,2056
Size of allocMBList,867
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,624
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55cab8e88540,3
0x55cab8e88840,2
0x55cab8e888a0,3
0x55cab8e88900,2
0x55cab8e88ce0,2
0x55cab8e88d60,2
0x55cab8e88dc0,3
0x55cab8e88e20,2
0x55cab8e87ee0,2
0x55cab8e87f40,3
0x55cab8e881e0,3
0x55cab8e88b60,3
0x55cab8e88ee0,3
0x55cab8e88f40,3
0x55cab8e88fa0,1
0x55cab8e79c60,6,0x55cab8e38310,Dwain
0x55cab8e3b3e0,6,0x55cab8e38510,Julio
0x55cab8e81b40,4,0x55cab8e39090,Dov
0x55cab8e82220,7,0x55cab8e39350,Justen
0x55cab8e79bc0,8,0x55cab8e39610,Donovan
0x55cab8e83ae0,6,0x55cab8e39690,Johan
0x55cab8e80060,8,0x55cab8e39890,Dimitri
0x55cab8e7c300,6,0x55cab8e398d0,Dilly
0x55cab8e7bf80,7,0x55cab8e39ad0,Dougie
0x55cab8e7a860,6,0x55cab8e39e90,Duane
0x55cab8e7aea0,9,0x55cab8e39f10,Jonathon
0x55cab8e84140,9,0x55cab8e3a3a0,Farleigh
0x55cab8e85ea0,7,0x55cab8e3a400,Farley
0x55cab8e863e0,7,0x55cab8e3a460,Farlie
0x55cab8e86440,6,0x55cab8e3a4c0,Farly
0x55cab8e864a0,5,0x55cab8e3a520,Farr
0x55cab8e85f00,7,0x55cab8e3a580,Farrel
0x55cab8e875e0,8,0x55cab8e3a5e0,Farrell
0x55cab8e86500,7,0x55cab8e3a640,Farris
0x55cab8e85e40,9,0x55cab8e3a660,Faulkner
0x55cab8e86200,4,0x55cab8e3a6c0,Fax
0x55cab8e86320,9,0x55cab8e3a6e0,Federico
0x55cab8e86560,4,0x55cab8e3a740,Fee
0x55cab8e86620,6,0x55cab8e3a7a0,Felic
0x55cab8e868c0,7,0x55cab8e3a800,Felice
0x55cab8e86920,8,0x55cab8e3a860,Felicio
0x55cab8e869e0,7,0x55cab8e3a8c0,Felike
0x55cab8e86a40,7,0x55cab8e3a920,Feliks
0x55cab8e86d40,7,0x55cab8e3a980,Felipe
0x55cab8e86f80,6,0x55cab8e3a9e0,Felix
0x55cab8e87ac0,8,0x55cab8e3aa40,Felizio
0x55cab8e882a0,7,0x55cab8e3aaa0,Feodor
0x55cab8e38db0,5,0x55cab8e3ab00,Ferd
0x55cab8e77940,7,0x55cab8e3ab60,Ferdie
0x55cab8e522c0,8,0x55cab8e3aba0,Richard
0x55cab8e78600,6,0x55cab8e3ac00,Ferdy
0x55cab8e79e40,7,0x55cab8e3ac60,Fergus
0x55cab8e79f80,9,0x55cab8e3ac80,Ferguson
0x55cab8e7af40,9,0x55cab8e3aca0,Fernando
0x55cab8e7b0c0,7,0x55cab8e3ad00,Ferrel
0x55cab8e7b5c0,8,0x55cab8e3ad60,Ferrell
0x55cab8e7fe40,7,0x55cab8e3adc0,Ferris
0x55cab8e80380,6,0x55cab8e3ae20,Fidel
0x55cab8e80500,8,0x55cab8e3ae80,Fidelio
0x55cab8e80c00,7,0x55cab8e3aee0,Fidole
0x55cab8e84500,6,0x55cab8e3af40,Field
0x55cab8e87280,7,0x55cab8e3afe0,Fields
0x55cab8e86bc0,8,0x55cab8e3b000,Filbert
0x55cab8e86c80,6,0x55cab8e3b0e0,Filip
0x55cab8e873a0,8,0x55cab8e3b100,Filippo
0x55cab8e874c0,7,0x55cab8e3b160,Filmer
0x55cab8e87520,8,0x55cab8e3b180,Filmore
0x55cab8e87580,4,0x55cab8e3b1e0,Fin
0x55cab8e85a80,8,0x55cab8e3b200,Findlay
0x55cab8e85ae0,8,0x55cab8e3b220,Findley
0x55cab8e85f60,7,0x55cab8e3b280,Finlay
0x55cab8e860e0,7,0x55cab8e3b2e0,Finley
0x55cab8e865c0,5,0x55cab8e3b340,Finn
0x55cab8e86800,5,0x55cab8e3b3a0,Fitz
0x55cab8e86980,5,0x55cab8e3b440,Flem
0x55cab8e86da0,8,0x55cab8e3b460,Fleming
0x55cab8e40220,5,0x55cab8e3b4a0,Juan
0x55cab8e86ec0,7,0x55cab8e3b500,Fletch
0x55cab8e86f20,5,0x55cab8e3b5a0,Flin
0x55cab8e878e0,6,0x55cab8e3b600,Flinn
0x55cab8e381f0,6,0x55cab8e3b660,Flint
0x55cab8e39e70,8,0x55cab8e3b680,Florian
0x55cab8e77600,6,0x55cab8e3b6e0,Flory
0x55cab8e78040,6,0x55cab8e3b740,Floyd
0x55cab8e78d80,6,0x55cab8e3b7a0,Flynn
0x55cab8e79b40,5,0x55cab8e3b800,Fons
0x55cab8e7a0c0,7,0x55cab8e3b860,Fonsie
0x55cab8e7b340,5,0x55cab8e3b8c0,Fonz
0x55cab8e7bac0,7,0x55cab8e3b920,Fonzie
0x55cab8e7cf40,7,0x55cab8e3b980,Forbes
0x55cab8e7e6c0,5,0x55cab8e3b9e0,Ford
0x55cab8e7ea80,7,0x55cab8e3ba40,Forest
0x55cab8e7f400,8,0x55cab8e3baa0,Forrest
0x55cab8e7f5c0,8,0x55cab8e3bb00,Forster
0x55cab8e7f680,5,0x55cab8e3bb60,Foss
0x55cab8e7f740,7,0x55cab8e3bbc0,Foster
0x55cab8e7f980,7,0x55cab8e3bc20,Fowler
0x55cab8e7fc40,5,0x55cab8e3bc80,Fran
0x55cab8e801c0,8,0x55cab8e3bd20,Francis
0x55cab8e80740,6,0x55cab8e3bec0,Frank
0x55cab8e80940,8,0x55cab8e3bee0,Frankie
0x55cab8e82080,7,0x55cab8e3bfc0,Franky
0x55cab8e82680,8,0x55cab8e3bfe0,Frannie
0x55cab8e82b80,7,0x55cab8e3c040,Franny
