Data Source File,_data/middle-names.txt
Memory Manager Type,Worst Fit
Total Memory Allocated by sbrk (bytes),17039
Size of freedMBList,2056
Size of allocMBList,867
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,624
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x562aa990b540,3
0x562aa990b840,2
0x562aa990b8a0,3
0x562aa990b900,2
0x562aa990bce0,2
0x562aa990bd60,2
0x562aa990bdc0,3
0x562aa990be20,2
0x562aa990aee0,2
0x562aa990af40,3
0x562aa990b1e0,3
0x562aa990bb60,3
0x562aa990bee0,3
0x562aa990bf40,3
0x562aa990bfa0,1
0x562aa98fcc60,6,0x562aa98bb310,Dwain
0x562aa98be3e0,6,0x562aa98bb510,Julio
0x562aa9904b40,4,0x562aa98bc090,Dov
0x562aa9905220,7,0x562aa98bc350,Justen
0x562aa98fcbc0,8,0x562aa98bc610,Donovan
0x562aa9906ae0,6,0x562aa98bc690,Johan
0x562aa9903060,8,0x562aa98bc890,Dimitri
0x562aa98ff300,6,0x562aa98bc8d0,Dilly
0x562aa98fef80,7,0x562aa98bcad0,Dougie
0x562aa98fd860,6,0x562aa98bce90,Duane
0x562aa98fdea0,9,0x562aa98bcf10,Jonathon
0x562aa9907140,9,0x562aa98bd3a0,Farleigh
0x562aa9908ea0,7,0x562aa98bd400,Farley
0x562aa99093e0,7,0x562aa98bd460,Farlie
0x562aa9909440,6,0x562aa98bd4c0,Farly
0x562aa99094a0,5,0x562aa98bd520,Farr
0x562aa9908f00,7,0x562aa98bd580,Farrel
0x562aa990a5e0,8,0x562aa98bd5e0,Farrell
0x562aa9909500,7,0x562aa98bd640,Farris
0x562aa9908e40,9,0x562aa98bd660,Faulkner
0x562aa9909200,4,0x562aa98bd6c0,Fax
0x562aa9909320,9,0x562aa98bd6e0,Federico
0x562aa9909560,4,0x562aa98bd740,Fee
0x562aa9909620,6,0x562aa98bd7a0,Felic
0x562aa99098c0,7,0x562aa98bd800,Felice
0x562aa9909920,8,0x562aa98bd860,Felicio
0x562aa99099e0,7,0x562aa98bd8c0,Felike
0x562aa9909a40,7,0x562aa98bd920,Feliks
0x562aa9909d40,7,0x562aa98bd980,Felipe
0x562aa9909f80,6,0x562aa98bd9e0,Felix
0x562aa990aac0,8,0x562aa98bda40,Felizio
0x562aa990b2a0,7,0x562aa98bdaa0,Feodor
0x562aa98bbdb0,5,0x562aa98bdb00,Ferd
0x562aa98fa940,7,0x562aa98bdb60,Ferdie
0x562aa98d52c0,8,0x562aa98bdba0,Richard
0x562aa98fb600,6,0x562aa98bdc00,Ferdy
0x562aa98fce40,7,0x562aa98bdc60,Fergus
0x562aa98fcf80,9,0x562aa98bdc80,Ferguson
0x562aa98fdf40,9,0x562aa98bdca0,Fernando
0x562aa98fe0c0,7,0x562aa98bdd00,Ferrel
0x562aa98fe5c0,8,0x562aa98bdd60,Ferrell
0x562aa9902e40,7,0x562aa98bddc0,Ferris
0x562aa9903380,6,0x562aa98bde20,Fidel
0x562aa9903500,8,0x562aa98bde80,Fidelio
0x562aa9903c00,7,0x562aa98bdee0,Fidole
0x562aa9907500,6,0x562aa98bdf40,Field
0x562aa990a280,7,0x562aa98bdfe0,Fields
0x562aa9909bc0,8,0x562aa98be000,Filbert
0x562aa9909c80,6,0x562aa98be0e0,Filip
0x562aa990a3a0,8,0x562aa98be100,Filippo
0x562aa990a4c0,7,0x562aa98be160,Filmer
0x562aa990a520,8,0x562aa98be180,Filmore
0x562aa990a580,4,0x562aa98be1e0,Fin
0x562aa9908a80,8,0x562aa98be200,Findlay
0x562aa9908ae0,8,0x562aa98be220,Findley
0x562aa9908f60,7,0x562aa98be280,Finlay
0x562aa99090e0,7,0x562aa98be2e0,Finley
0x562aa99095c0,5,0x562aa98be340,Finn
0x562aa9909800,5,0x562aa98be3a0,Fitz
0x562aa9909980,5,0x562aa98be440,Flem
0x562aa9909da0,8,0x562aa98be460,Fleming
0x562aa98c3220,5,0x562aa98be4a0,Juan
0x562aa9909ec0,7,0x562aa98be500,Fletch
0x562aa9909f20,5,0x562aa98be5a0,Flin
0x562aa990a8e0,6,0x562aa98be600,Flinn
0x562aa98bb1f0,6,0x562aa98be660,Flint
0x562aa98bce70,8,0x562aa98be680,Florian
0x562aa98fa600,6,0x562aa98be6e0,Flory
0x562aa98fb040,6,0x562aa98be740,Floyd
0x562aa98fbd80,6,0x562aa98be7a0,Flynn
0x562aa98fcb40,5,0x562aa98be800,Fons
0x562aa98fd0c0,7,0x562aa98be860,Fonsie
0x562aa98fe340,5,0x562aa98be8c0,Fonz
0x562aa98feac0,7,0x562aa98be920,Fonzie
0x562aa98fff40,7,0x562aa98be980,Forbes
0x562aa99016c0,5,0x562aa98be9e0,Ford
0x562aa9901a80,7,0x562aa98bea40,Forest
0x562aa9902400,8,0x562aa98beaa0,Forrest
0x562aa99025c0,8,0x562aa98beb00,Forster
0x562aa9902680,5,0x562aa98beb60,Foss
0x562aa9902740,7,0x562aa98bebc0,Foster
0x562aa9902980,7,0x562aa98bec20,Fowler
0x562aa9902c40,5,0x562aa98bec80,Fran
0x562aa99031c0,8,0x562aa98bed20,Francis
0x562aa9903740,6,0x562aa98beec0,Frank
0x562aa9903940,8,0x562aa98beee0,Frankie
0x562aa9905080,7,0x562aa98befc0,Franky
0x562aa9905680,8,0x562aa98befe0,Frannie
0x562aa9905b80,7,0x562aa98bf040,Franny
0x562aa9906380,6,0x562aa98bf0a0,Frans
0x562aa9906940,7,0x562aa98bf140,Frants
0x562aa9907480,6,0x562aa98bf1a0,Franz
0x562aa9909b60,7,0x562aa98bf200,Frasco
0x562aa9909c20,7,0x562aa98bf220,Fraser
0x562aa990ac40,6,0x562aa98bf300,Fraze
0x562aa9909ce0,7,0x562aa98bf320,Frazer
0x562aa990a400,5,0x562aa98bf3c0,Fred
